HYBAS_ID,NEXT_DOWN,NEXT_SINK,MAIN_BAS,DIST_SINK,DIST_MAIN,SUB_AREA,UP_AREA,PFAF_ID,SIDE,LAKE,ENDO,COAST,ORDER,SORT,t_lag_h,D_test_h,D_ddf_h,cen_x,cen_y,arf,thr_pt,thr_mm
2060465610,2060477000,2060008490,2060008490,2372.5,2372.5,3292.5,50388.3,227991,M,0,0,0,1,360,55.09698039333299,12.0,12.0,13.062872271679755,48.63172980414499,0.8678918401582872,61.29715852998789,53.19930371306544
2060460080,2060465610,2060008490,2060008490,2431.4,2431.4,5640.1,37993.3,227993,M,0,0,0,1,361,49.491563719668896,12.0,12.0,12.745483536194719,48.98995666503909,0.8769758370866603,62.372322755875246,54.69901995987304
2060460170,2060465610,2060008490,2060008490,2431.6,2431.6,9102.8,9102.8,227992,M,0,0,0,2,362,28.756035412025685,12.0,12.0,11.432724165565473,48.0548533121745,0.9150747090773558,73.61783312043188,67.36581722558454
2060454600,2060460080,2060008490,2060008490,2531.7,2531.7,5482.7,5482.7,227994,M,0,0,0,2,363,23.717036009706263,12.0,12.0,12.14800358391928,49.51944173177086,0.9258759916624371,54.665853137019326,50.61380098331092
2060454730,2060460080,2060008490,2060008490,2531.7,2531.7,728.6,26870.5,227995,M,0,0,0,1,364,43.38776643404465,12.0,12.0,11.843652589116054,49.0729417588976,0.8873717785705697,55.39602295126424,49.15686741199945
2060457260,2060454730,2060008490,2060008490,2560.6,2560.6,3533.8,22967.8,227997,M,0,0,0,1,365,40.87595200794828,12.0,12.0,11.29062487396827,48.48333367241756,0.8918227879199294,65.23468753670448,58.177780908069266
2060457140,2060454730,2060008490,2060008490,2560.6,2560.6,3174.4,3174.4,227996,M,0,0,0,2,366,19.2696548852971,12.0,12.0,11.483174237777868,49.124864705403674,0.9362234339336877,55.80035334336681,52.24159842184
2060461540,2060457260,2060008490,2060008490,2646.7,2646.7,14756.0,14756.1,227999,M,0,0,0,1,367,34.550291314932636,12.0,12.0,9.83897417708916,48.277190314398894,0.9035516417866201,63.537899773122895,57.409773655678904
2060461650,2060457260,2060008490,2060008490,2646.9,2646.9,4678.0,4678.0,227998,M,0,0,0,2,368,22.32880042900257,12.0,12.0,10.757822726777704,47.94287889268666,0.9290111022529134,73.45348173370107,68.23910002973987
2060008500,0,2060008500,2060008500,0.0,0.0,27636.3,27636.3,228000,M,0,0,1,0,369,43.8535616156386,12.0,12.0,27.20624997668668,43.21875000000003,0.886558048676544,62.36222813353521,55.28773528518845
2069003570,2060008500,2060008500,2060008500,0.0,0.0,512.1,512.1,228000,M,1,0,1,0,370,9.633793306213368,9.633793306213368,10.0,29.055740876115998,44.826297760009766,0.9614972533716244,57.41164622073274,55.20114015277793
2060009230,0,2060009230,2060009230,0.0,0.0,6072.7,6072.7,213010,M,0,0,1,0,371,24.65628285845421,12.0,12.0,26.84173963597746,40.668750000000024,0.9237973294279453,67.42515811427059,62.28718100222013
2060009480,0,2060009480,2060009480,0.0,0.0,1944.0,52512.1,213021,M,0,0,0,1,372,55.96816604765026,12.0,12.0,26.470400430580142,40.866950310601155,0.8665159590878497,70.00655368773265,60.661796011160696
2060622810,2060009480,2060009480,2060009480,53.9,53.9,11015.9,11016.0,213022,M,0,0,0,2,373,30.91801487537247,12.0,12.0,27.432242337177513,41.44981477525502,0.9106758590475311,64.87539067400516,59.080452133093836
2060622800,2060009480,2060009480,2060009480,54.0,54.0,3716.5,39551.8,213023,M,0,0,0,1,374,50.253427236601375,12.0,12.0,26.26231074821721,41.45846549140086,0.8757166173550961,69.26831205349019,60.65941192137966
2060609030,2060622800,2060009480,2060009480,164.8,164.8,14.4,27252.1,213025,M,0,0,0,1,375,43.62088771436423,12.0,12.0,26.51261680740297,41.6479166666667,0.8869640785225562,65.11545505127269,57.75506958712901
2060608930,2060622800,2060009480,2060009480,164.9,164.9,8582.6,8582.9,213024,M,0,0,0,2,376,28.12052661015167,12.0,12.0,26.552123645964706,42.26446211073136,0.916392535845592,63.33659673493944,58.041184493760795
2060609100,2060609030,2060009480,2060009480,167.7,167.7,5623.7,5623.7,213026,M,0,0,0,2,377,23.94698954011689,12.0,12.0,25.190742830319884,41.5499565124512,0.9253640260829454,72.88434494457388,67.44455087632906
2060609020,2060609030,2060009480,2060009480,167.9,167.9,2961.8,21614.3,213027,M,0,0,0,1,378,39.94331966258798,12.0,12.0,25.820737468773594,41.83990470038523,0.8935035616018419,68.26349559449902,60.993676441076516
2060602370,2060609020,2060009480,2060009480,248.7,248.7,3373.2,3373.2,213028,M,0,0,0,2,379,19.71961829733729,12.0,12.0,25.931064715561917,42.291666666666686,0.9351332985161683,62.14237162047541,58.111400951072696
2060602360,2060609020,2060009480,2060009480,248.8,248.8,15279.3,15279.3,213029,M,0,0,0,1,380,35.01078298757816,12.0,12.0,24.73952881683202,42.15629696316191,0.902670242482796,67.99942628852652,61.38105861655525
2060009490,0,2060009490,2060009490,0.0,0.0,12458.2,12458.2,213030,M,0,0,1,0,381,32.39780021194349,12.0,12.0,24.128135039654985,41.45000000000003,0.9077353018707376,64.57427179078958,58.61634609709544
2060009730,0,2060009730,2060009730,0.0,0.0,16801.7,16801.7,213040,M,0,0,0,1,382,36.297501787679415,12.0,12.0,23.146526520995984,41.8051447550456,0.9002316215053269,51.68184375170352,46.525630002981
2060009740,0,2060009740,2060009740,0.0,0.0,7252.8,7252.8,213050,M,0,0,1,0,383,26.377563432133442,12.0,12.0,23.436123188042465,40.5552914089627,0.9200693020197561,72.19956895800712,66.42860701732086
2060009900,0,2060009900,2060009900,0.0,0.0,24524.0,24524.0,213060,M,0,0,0,1,384,41.907061197005675,12.0,12.0,21.614583285308704,41.4979166666667,0.8899825330677251,57.01536613240178,50.742679974298724
2060009910,0,2060009910,2060009910,0.0,0.0,5488.9,5488.9,213071,M,0,0,1,0,385,23.727224012075233,12.0,12.0,22.08199903883744,40.693099636501756,0.9258532664524836,81.73955340043419,75.67883251415921
2060009950,0,2060009950,2060009950,0.0,0.0,6747.7,6747.7,213072,M,0,0,0,1,386,25.663843629238478,12.0,12.0,21.32336287022749,40.318055555555574,0.9216028451959861,52.08754695494366,48.0040314729556
